Date,Open,High,Low,Close,Volume,Adj Close
2015-06-08,132.600006,134.029999,132.240005,132.910004,884600,132.910004
2015-06-05,131.229996,133.110001,130.360001,132.899994,688000,132.899994
2015-06-04,131.059998,131.960007,130.289993,131.600006,909900,131.600006
2015-06-03,131.440002,132.669998,130.929993,132.169998,688000,132.169998
2015-06-02,131.449997,132.470001,130.419998,131.25,870400,131.25
2015-06-01,130.779999,132.479996,129.240005,132.190002,973000,132.190002
2015-05-29,130.869995,131.919998,130.229996,130.720001,1160400,130.720001
2015-05-28,130.009995,131.449997,129.75,130.649994,990200,130.649994
2015-05-27,128.820007,130.789993,128.179993,130.449997,1018700,130.449997
2015-05-26,130.300003,131.550003,127.809998,128.559998,796200,128.559998
2015-05-22,131.210007,132.839996,130.729996,130.880005,584500,130.880005
2015-05-21,131.910004,132.220001,130.289993,131.820007,1033700,131.820007
2015-05-20,131.429993,134.270004,131.039993,132.360001,1114000,132.360001
2015-05-19,130.00,131.289993,125.440002,131.080002,1799400,131.080002
2015-05-18,131.559998,132.600006,130.630005,131.720001,659500,131.720001
2015-05-15,130.580002,131.490005,129.50,131.410004,874800,131.410004
2015-05-14,129.070007,130.779999,128.199997,130.559998,1101500,130.559998
2015-05-13,131.00,131.429993,127.889999,128.320007,1519800,128.320007
2015-05-12,131.100006,133.699997,130.449997,130.470001,2189700,130.470001
2015-05-11,126.00,128.429993,126.00,127.07,1214200,127.07
2015-05-08,124.760002,126.639999,124.269997,126.400002,1886500,126.400002
2015-05-07,124.739998,125.860001,123.760002,123.949997,1236900,123.949997
2015-05-06,123.860001,125.970001,123.370003,124.389999,1251600,124.389999
2015-05-05,126.879997,128.479996,122.75,123.860001,1550200,123.860001
2015-05-04,127.639999,129.339996,127.57,127.75,1084000,127.75
2015-05-01,127.120003,129.080002,126.459999,127.190002,1769000,127.190002
2015-04-30,129.539993,130.970001,126.089996,126.650002,1238600,126.650002
2015-04-29,129.75,130.979996,129.00,129.960007,1158300,129.960007
2015-04-28,130.910004,131.460007,128.25,129.899994,1752200,129.899994
2015-04-27,139.220001,139.419998,130.529999,130.970001,1417000,130.970001
2015-04-24,144.369995,144.429993,136.320007,138.330002,2303200,138.330002
2015-04-23,140.75,143.210007,140.660004,141.919998,1104900,141.919998
2015-04-22,140.990005,141.50,139.610001,140.869995,593200,140.869995
2015-04-21,141.630005,142.00,140.270004,140.479996,876200,140.479996
2015-04-20,141.070007,143.070007,140.360001,141.279999,719900,141.279999
2015-04-17,140.779999,141.130005,139.020004,139.940002,661000,139.940002
2015-04-16,141.020004,142.270004,140.759995,141.729996,459500,141.729996
2015-04-15,143.00,143.00,140.839996,141.279999,702300,141.279999
2015-04-14,143.009995,143.649994,141.289993,142.75,623700,142.75
2015-04-13,141.990005,145.869995,141.789993,143.100006,925300,143.100006
2015-04-10,140.00,142.00,139.360001,141.679993,1041700,141.679993
2015-04-09,138.910004,140.00,137.699997,139.369995,802300,139.369995
2015-04-08,139.149994,140.559998,138.039993,139.020004,996900,139.020004
2015-04-07,139.979996,141.080002,138.720001,138.75,1007400,138.75
2015-04-06,140.240005,140.630005,139.25,139.850006,894500,139.850006
2015-04-02,141.309998,142.050003,139.889999,140.610001,841500,140.610001
2015-04-01,142.059998,142.229996,138.910004,140.699997,1006200,140.699997
2015-03-31,143.149994,144.110001,142.210007,142.460007,721700,142.460007
2015-03-30,144.869995,145.229996,143.889999,144.139999,605800,144.139999
2015-03-27,141.970001,144.169998,141.910004,143.679993,737100,143.679993
2015-03-26,140.770004,142.800003,138.130005,141.899994,1053500,141.899994
2015-03-25,146.550003,147.880005,142.070007,142.25,1294800,142.25
2015-03-24,146.479996,147.949997,145.320007,145.800003,823500,145.800003
2015-03-23,146.910004,147.520004,145.75,146.100006,702600,146.100006
2015-03-20,149.789993,150.410004,146.710007,146.770004,1763900,146.770004
2015-03-19,147.270004,149.320007,147.259995,148.940002,885200,148.940002
2015-03-18,148.00,149.949997,147.550003,148.380005,1336900,148.380005
2015-03-17,147.50,148.759995,146.529999,148.100006,1135500,148.100006
2015-03-16,137.00,149.710007,137.00,148.639999,2955100,148.639999
2015-03-13,136.850006,137.339996,134.389999,135.350006,1052400,135.350006
2015-03-12,135.059998,137.419998,134.729996,137.00,1168400,137.00
2015-03-11,134.00,136.00,133.649994,134.710007,948300,134.710007
2015-03-10,132.889999,133.880005,132.009995,133.649994,963300,133.649994
2015-03-09,133.429993,134.460007,132.429993,133.899994,1914300,133.899994
2015-03-06,135.229996,136.00,132.589996,133.00,825200,133.00
2015-03-05,135.600006,136.949997,135.119995,135.649994,679400,135.649994
2015-03-04,133.889999,136.610001,133.550003,135.759995,606300,135.759995
2015-03-03,135.779999,136.100006,133.759995,134.580002,735700,134.580002
2015-03-02,133.020004,136.059998,132.610001,135.850006,1172800,135.850006
2015-02-27,134.399994,135.160004,133.020004,133.020004,1169200,133.020004
2015-02-26,134.220001,135.50,133.970001,134.899994,628500,134.899994
2015-02-25,133.660004,134.979996,133.550003,134.050003,672400,134.050003
2015-02-24,133.860001,134.970001,133.339996,133.990005,691200,133.990005
2015-02-23,134.460007,134.880005,133.600006,134.25,601400,134.25
2015-02-20,133.320007,134.619995,131.940002,134.460007,757300,134.460007
2015-02-19,134.320007,134.979996,133.509995,133.720001,678300,133.720001
2015-02-18,133.240005,134.75,133.00,134.220001,929000,134.220001
2015-02-17,134.089996,134.669998,132.050003,133.039993,662100,133.039993
2015-02-13,132.720001,134.229996,131.25,134.229996,1067400,134.229996
2015-02-12,132.380005,132.869995,130.559998,132.339996,719500,132.339996
2015-02-11,129.75,131.860001,129.360001,131.589996,917300,131.589996
2015-02-10,130.360001,131.100006,129.259995,130.070007,895300,130.070007
2015-02-09,132.350006,132.820007,127.709999,128.080002,1093900,128.080002
2015-02-06,134.789993,136.75,131.949997,132.619995,1301200,132.619995
2015-02-05,135.00,136.869995,134.630005,134.830002,1056100,134.830002
2015-02-04,129.059998,137.580002,128.520004,134.850006,2069900,134.850006
2015-02-03,126.370003,127.519997,123.970001,127.00,1406300,127.00
2015-02-02,125.690002,127.389999,124.559998,125.480003,1539700,125.480003
2015-01-30,128.509995,128.960007,124.690002,125.349998,2081400,125.349998
2015-01-29,128.910004,129.619995,127.809998,129.279999,784500,129.279999
2015-01-28,129.979996,131.100006,128.75,128.869995,629200,128.869995
2015-01-27,129.169998,130.449997,128.289993,129.380005,545600,129.380005
2015-01-26,129.50,130.380005,128.820007,130.139999,998700,130.139999
2015-01-23,130.619995,130.880005,129.50,129.630005,769700,129.630005
2015-01-22,129.770004,130.880005,127.559998,130.339996,1159700,130.339996
2015-01-21,128.399994,129.449997,127.540001,128.880005,887900,128.880005
2015-01-20,130.270004,131.880005,128.020004,128.460007,980200,128.460007
2015-01-16,128.369995,129.270004,127.169998,129.160004,988200,129.160004
2015-01-15,131.669998,133.119995,128.470001,128.589996,1273600,128.589996
2015-01-14,131.669998,133.059998,131.020004,131.669998,780100,131.669998
2015-01-13,136.339996,137.190002,132.639999,133.619995,747200,133.619995
2015-01-12,133.729996,136.279999,132.850006,135.289993,1136100,135.289993
2015-01-09,133.149994,134.00,132.089996,133.160004,840800,133.160004
2015-01-08,131.020004,133.470001,130.559998,133.149994,1157600,133.149994
2015-01-07,128.199997,130.490005,127.269997,130.00,775400,130.00
2015-01-06,126.970001,128.820007,125.410004,127.019997,831400,127.019997
2015-01-05,126.599998,129.220001,126.50,127.779999,639300,127.779999
2015-01-02,128.190002,129.809998,126.610001,127.720001,607600,127.720001
2014-12-31,129.690002,130.600006,127.199997,127.379997,415000,127.379997
2014-12-30,129.529999,130.690002,129.110001,129.270004,403600,129.270004
2014-12-29,129.190002,129.889999,128.100006,129.419998,383900,129.419998
2014-12-26,130.929993,131.240005,129.559998,129.899994,256700,129.899994
2014-12-24,129.759995,131.559998,129.619995,130.75,247900,130.75
2014-12-23,133.25,133.320007,128.449997,129.580002,645000,129.580002
2014-12-22,133.240005,134.240005,131.50,132.470001,706400,132.470001
2014-12-19,132.139999,133.75,131.729996,133.210007,1515400,133.210007
2014-12-18,130.960007,131.429993,129.889999,131.399994,1294400,131.399994
2014-12-17,125.959999,130.009995,125.620003,129.740005,1311000,129.740005
2014-12-16,126.669998,128.570007,125.339996,125.440002,1063600,125.440002
2014-12-15,129.919998,130.089996,126.730003,127.010002,1578200,127.010002
2014-12-12,130.960007,132.279999,128.809998,128.869995,944200,128.869995
2014-12-11,131.050003,133.440002,130.759995,132.070007,1260100,132.070007
2014-12-10,133.949997,133.949997,130.110001,130.369995,952700,130.369995
2014-12-09,131.119995,134.00,131.009995,133.479996,1389500,133.479996
2014-12-08,130.00,134.289993,130.00,132.130005,1943000,132.130005
2014-12-05,130.00,130.119995,129.440002,129.710007,1270800,129.710007
2014-12-04,131.059998,132.00,129.789993,130.00,825300,130.00
2014-12-03,132.649994,132.800003,131.160004,131.460007,664600,131.460007
2014-12-02,130.350006,132.600006,129.399994,132.399994,826900,132.399994
2014-12-01,129.589996,131.070007,128.300003,129.389999,612500,129.389999
2014-11-28,129.580002,131.270004,129.089996,129.679993,307500,129.679993
2014-11-26,127.75,129.270004,127.220001,129.160004,666700,129.160004
2014-11-25,127.699997,128.899994,127.32,127.57,912000,127.57
2014-11-24,124.720001,127.970001,123.839996,127.519997,1536800,127.519997
2014-11-21,126.199997,126.900002,123.239998,123.50,993200,123.50
2014-11-20,124.260002,125.480003,122.900002,125.389999,549100,125.389999
2014-11-19,127.459999,127.480003,124.93,125.589996,761400,125.589996
2014-11-18,126.519997,127.959999,126.050003,127.879997,485400,127.879997
2014-11-17,124.470001,126.620003,124.349998,126.230003,714800,126.230003
2014-11-14,124.18,124.940002,123.260002,124.50,786300,124.50
2014-11-13,122.910004,124.860001,122.910004,124.550003,741000,124.550003
2014-11-12,124.589996,124.589996,122.440002,122.949997,995900,122.949997
2014-11-11,124.980003,125.349998,124.160004,124.790001,423200,124.790001
2014-11-10,122.760002,124.599998,122.730003,124.599998,682500,124.599998
2014-11-07,123.339996,123.339996,121.93,122.760002,1045700,122.760002
2014-11-06,120.720001,123.68,120.580002,123.57,793800,123.57
2014-11-05,120.260002,121.199997,118.889999,121.099998,890800,121.099998
2014-11-04,120.099998,120.830002,119.309998,119.779999,1078300,119.779999
2014-11-03,120.870003,121.029999,119.769997,119.93,816500,119.93
2014-10-31,121.580002,122.00,120.290001,120.919998,639800,120.919998
2014-10-30,119.629997,120.510002,119.059998,120.279999,659800,120.279999
2014-10-29,118.25,120.120003,118.010002,120.00,1391200,120.00
2014-10-28,117.050003,118.839996,116.029999,118.279999,998500,118.279999
2014-10-27,116.559998,117.50,115.559998,117.019997,1388300,117.019997
2014-10-24,113.50,117.940002,113.220001,116.760002,2819400,116.760002
2014-10-23,105.650002,107.870003,104.440002,105.190002,1471200,105.190002
2014-10-22,106.220001,106.660004,104.389999,105.260002,834500,105.260002
2014-10-21,102.269997,106.169998,102.269997,105.809998,872000,105.809998
2014-10-20,99.059998,101.919998,98.690002,101.870003,902800,101.870003
2014-10-17,98.800003,100.43,98.300003,99.00,1165600,99.00
2014-10-16,98.18,99.080002,97.07,98.029999,1262400,98.029999
2014-10-15,101.400002,101.75,98.879997,100.010002,1317400,100.010002
2014-10-14,104.00,104.959999,101.830002,102.470001,1124600,102.470001
2014-10-13,104.760002,105.480003,103.220001,103.330002,711100,103.330002
2014-10-10,105.910004,107.449997,104.550003,104.589996,714500,104.589996
2014-10-09,106.830002,108.050003,105.599998,105.669998,813700,105.669998
2014-10-08,106.349998,106.790001,105.660004,106.690002,852600,106.690002
2014-10-07,106.400002,106.82,105.720001,106.010002,725100,106.010002
2014-10-06,107.00,108.730003,106.629997,106.910004,861500,106.910004
2014-10-03,104.730003,106.489998,104.620003,106.18,709000,106.18
2014-10-02,103.260002,104.459999,102.849998,104.279999,707000,104.279999
2014-10-01,102.309998,103.669998,101.760002,103.389999,989800,103.389999
2014-09-30,103.459999,103.57,102.129997,102.150002,456800,102.150002
2014-09-29,102.190002,103.370003,102.07,103.169998,540000,103.169998
2014-09-26,102.650002,103.00,102.25,102.75,522700,102.75
2014-09-25,104.029999,104.139999,102.650002,102.650002,555300,102.650002
2014-09-24,103.190002,103.669998,102.620003,103.589996,575100,103.589996
2014-09-23,102.599998,104.139999,102.599998,103.190002,658500,103.190002
2014-09-22,103.870003,104.690002,103.639999,103.989998,653400,103.989998
2014-09-19,103.739998,104.660004,103.239998,104.019997,1437500,104.019997
2014-09-18,102.480003,103.459999,102.139999,103.32,577500,103.32
2014-09-17,101.099998,102.900002,101.010002,102.459999,630800,102.459999
2014-09-16,101.379997,101.529999,100.220001,101.00,950500,101.00
2014-09-15,100.029999,101.879997,99.330002,101.389999,1127400,101.389999
2014-09-12,100.900002,100.989998,99.379997,99.68,968800,99.68
2014-09-11,100.739998,101.50,100.440002,101.18,687700,101.18
2014-09-10,99.470001,100.739998,98.860001,100.510002,781300,100.510002
2014-09-09,98.809998,99.75,98.379997,99.059998,744000,99.059998
2014-09-08,98.610001,99.279999,98.480003,98.910004,1352800,98.910004
2014-09-05,98.290001,99.040001,98.120003,98.93,836400,98.93
2014-09-04,98.059998,98.860001,97.589996,98.440002,774300,98.440002
2014-09-03,98.209999,98.629997,97.610001,97.910004,867000,97.910004
2014-09-02,99.360001,99.519997,96.839996,97.580002,981200,97.580002
2014-08-29,98.349998,99.349998,97.82,99.260002,729800,99.260002
2014-08-28,97.68,98.410004,96.830002,98.260002,619600,98.260002
2014-08-27,98.68,98.790001,97.459999,97.519997,698200,97.519997
2014-08-26,99.110001,99.349998,98.00,98.800003,758900,98.800003
2014-08-25,98.629997,98.919998,98.099998,98.529999,454500,98.529999
2014-08-22,99.00,99.110001,98.160004,98.410004,649400,98.410004
2014-08-21,98.449997,98.940002,98.07,98.699997,948300,98.699997
2014-08-20,97.580002,98.339996,96.639999,97.57,892800,97.57
2014-08-19,97.800003,98.019997,97.07,97.970001,580900,97.970001
2014-08-18,97.169998,98.269997,96.919998,97.889999,813000,97.889999
2014-08-15,95.889999,97.260002,95.68,96.580002,790600,96.580002
2014-08-14,96.169998,96.169998,95.459999,95.690002,858000,95.690002
2014-08-13,95.120003,96.739998,95.010002,95.879997,848900,95.879997
2014-08-12,94.620003,95.410004,94.32,94.989998,736600,94.989998
2014-08-11,94.900002,95.449997,94.360001,94.50,513700,94.50
2014-08-08,94.32,94.919998,93.940002,94.709999,652900,94.709999
2014-08-07,95.260002,95.510002,94.019997,94.370003,1151100,94.370003
2014-08-06,92.989998,95.389999,92.779999,95.010002,1208100,95.010002
2014-08-05,93.529999,94.779999,93.199997,93.809998,1407800,93.809998
2014-08-04,92.00,93.540001,91.610001,93.400002,1077800,93.400002
2014-08-01,90.199997,92.059998,89.419998,91.970001,1899900,91.970001
